Date,Close
2010-01-04,23.01737403869629
2010-01-05,23.10515594482422
2010-01-06,23.072237014770508
2010-01-07,22.710132598876953
2010-01-08,23.097841262817383
2010-01-11,23.324615478515625
2010-01-12,23.258771896362305
2010-01-13,23.679397583007812
2010-01-14,23.83667755126953
2010-01-15,23.726945877075195
2010-01-18,23.858625411987305
2010-01-19,23.273406982421875
2010-01-20,22.8454647064209
2010-01-21,22.936899185180664
2010-01-22,22.563833236694336
2010-01-25,22.42118263244629
2010-01-27,22.212697982788086
2010-01-28,22.015188217163086
2010-01-29,22.04444122314453
2010-02-01,23.053953170776367
2010-02-02,23.233173370361328
2010-02-03,23.10515594482422
2010-02-04,23.17464828491211
2010-02-05,22.538225173950195
2010-02-08,22.655271530151367
2010-02-09,22.680875778198242
2010-02-10,23.108808517456055
2010-02-11,22.92593002319336
2010-02-15,22.384605407714844
2010-02-16,22.629667282104492
2010-02-17,22.834491729736328
2010-02-18,23.21122932434082
2010-02-19,23.53309440612793
2010-02-22,23.86959457397461
2010-02-23,23.591615676879883
2010-02-24,23.569679260253906
2010-02-25,23.547725677490234
2010-02-26,23.21854591369629
2010-03-02,22.812549591064453
2010-03-03,22.538225173950195
2010-03-04,22.260244369506836
2010-03-05,22.44312858581543
2010-03-08,22.505308151245117
2010-03-09,22.34071922302246
2010-03-10,22.369976043701172
2010-03-11,22.260244369506836
2010-03-12,22.220012664794922
2010-03-15,21.7518367767334
2010-03-16,22.106630325317383
2010-03-17,22.081022262573242
2010-03-18,21.9566650390625
2010-03-19,22.062734603881836
2010-03-22,21.916427612304688
2010-03-23,21.883516311645508
2010-03-25,21.481168746948242
2010-03-26,21.634794235229492
2010-03-29,22.102970123291016
2010-03-30,21.931060791015625
2010-03-31,21.634794235229492
2010-04-01,21.83230209350586
2010-04-05,21.51409912109375
2010-04-06,21.459224700927734
2010-04-07,21.466541290283203
2010-04-08,21.327558517456055
2010-04-09,21.192222595214844
2010-04-12,20.939847946166992
2010-04-13,20.753307342529297
2010-04-15,20.69844627380371
2010-04-16,20.62529182434082
2010-04-19,20.541166305541992
2010-04-20,20.574087142944336
2010-04-21,20.588712692260742
2010-04-22,20.555803298950195
2010-04-23,20.559459686279297
2010-04-26,20.533857345581055
2010-04-27,20.592370986938477
2010-04-28,20.46070098876953
2010-04-29,20.0656795501709
2010-04-30,21.5616455078125
2010-05-03,22.344371795654297
2010-05-04,22.088340759277344
2010-05-05,21.89813995361328
2010-05-06,22.479705810546875
2010-05-07,22.582117080688477
2010-05-10,22.11393928527832
2010-05-11,22.004213333129883
2010-05-12,22.062734603881836
2010-05-13,22.099313735961914
2010-05-14,22.60040855407715
2010-05-17,23.309988021850586
2010-05-18,23.149045944213867
2010-05-19,22.93324851989746
2010-05-20,23.825706481933594
2010-05-21,24.154890060424805
2010-05-24,23.785470962524414
2010-05-25,23.745243072509766
2010-05-26,23.7525577545166
2010-05-27,24.890077590942383
2010-05-28,24.970542907714844
2010-05-31,25.833738327026367
2010-06-01,26.111717224121094
2010-06-02,25.884937286376953
2010-06-03,25.753267288208008
2010-06-04,25.958097457885742
2010-06-07,25.07660675048828
2010-06-08,24.743764877319336
2010-06-09,25.30704116821289
2010-06-10,25.175363540649414
2010-06-11,24.78034019470215
2010-06-14,25.453350067138672
2010-06-15,24.154890060424805
2010-06-16,24.403606414794922
2010-06-17,24.670618057250977
2010-06-18,24.458471298217773
2010-06-21,24.465787887573242
2010-06-22,25.336299896240234
2010-06-23,25.478946685791016
2010-06-24,24.974199295043945
2010-06-25,27.64790916442871
2010-06-28,29.08534812927246
2010-06-29,28.774459838867188
2010-06-30,29.48769760131836
2010-07-01,29.260915756225586
2010-07-02,29.356016159057617
2010-07-05,29.173131942749023
2010-07-06,28.858579635620117
2010-07-07,28.41967010498047
2010-07-08,29.004892349243164
2010-07-09,29.308475494384766
2010-07-12,28.675704956054688
2010-07-13,28.785438537597656
2010-07-14,28.47453498840332
2010-07-15,27.391881942749023
2010-07-16,27.66254425048828
2010-07-19,27.585731506347656
2010-07-20,27.16145133972168
2010-07-21,27.36992645263672
2010-07-22,27.41382598876953
2010-07-23,27.304100036621094
2010-07-26,26.674985885620117
2010-07-27,26.57988929748535
2010-07-28,26.448219299316406
2010-07-29,25.961755752563477
2010-07-30,26.48114013671875
2010-08-02,26.19218635559082
2010-08-03,26.488452911376953
2010-08-04,26.279972076416016
2010-08-05,26.232418060302734
2010-08-06,26.846900939941406
2010-08-09,26.795690536499023
2010-08-10,27.2236385345459
2010-08-11,27.497957229614258
2010-08-12,27.89663314819336
2010-08-13,27.8234806060791
2010-08-16,27.903949737548828
2010-08-17,28.277027130126953
2010-08-18,28.41967010498047
2010-08-19,28.46721839904785
2010-08-20,28.7086181640625
2010-08-23,29.579137802124023
2010-08-24,29.838821411132812
2010-08-25,29.34504508972168
2010-08-26,29.55353546142578
2010-08-27,30.010732650756836
2010-08-30,30.109493255615234
2010-08-31,30.076576232910156
2010-09-01,31.01291847229004
2010-09-02,31.03853416442871
2010-09-03,31.07143783569336
2010-09-06,31.111675262451172
2010-09-07,31.184823989868164
2010-09-08,31.218788146972656
2010-09-09,30.947147369384766
2010-09-13,31.599821090698242
2010-09-14,33.082489013671875
2010-09-15,32.97306823730469
2010-09-16,32.47508239746094
2010-09-17,32.331722259521484
2010-09-20,33.282432556152344
2010-09-21,33.074928283691406
2010-09-22,32.7957649230957
2010-09-23,32.84102249145508
2010-09-24,33.022117614746094
2010-09-27,33.93510055541992
2010-09-28,33.603111267089844
2010-09-29,32.52035140991211
2010-09-30,31.44891929626465
2010-10-01,31.54700469970703
2010-10-04,31.36214828491211
2010-10-05,31.735641479492188
2010-10-06,31.818639755249023
2010-10-07,32.03367614746094
2010-10-08,31.882776260375977
2010-10-11,31.32064437866211
2010-10-12,31.30555534362793
2010-10-13,31.51304817199707
2010-10-14,30.886791229248047
2010-10-15,30.320886611938477
2010-10-18,30.634021759033203
2010-10-19,30.434070587158203
2010-10-20,30.875473022460938
2010-10-21,31.298004150390625
2010-10-22,32.301536560058594
2010-10-25,32.482627868652344
2010-10-26,32.04499435424805
2010-10-27,31.68281364440918
2010-10-28,31.762052536010742
2010-10-29,31.543237686157227
2010-11-01,31.9091796875
2010-11-02,31.90540885925293
2010-11-03,31.9506778717041
2010-11-04,31.343278884887695
2010-11-08,30.852842330932617
2010-11-09,31.116924285888672
2010-11-10,31.16974449157715
2010-11-11,30.769832611083984
2010-11-12,30.373703002929688
2010-11-15,30.102075576782227
2010-11-16,29.41922950744629
2010-11-18,30.026630401611328
2010-11-19,29.638042449951172
2010-11-22,29.102317810058594
2010-11-23,27.646060943603516
2010-11-24,27.325393676757812
2010-11-25,25.450380325317383
2010-11-26,25.971006393432617
2010-11-29,25.997419357299805
2010-11-30,26.155868530273438
2010-12-01,29.01555061340332
2010-12-02,29.102317810058594
2010-12-03,29.106096267700195
2010-12-06,28.41569709777832
2010-12-07,27.853567123413086
2010-12-08,28.07993507385254
2010-12-09,26.917951583862305
2010-12-10,27.66115379333496
2010-12-13,27.664939880371094
2010-12-14,28.332700729370117
2010-12-15,28.70995330810547
2010-12-16,28.623191833496094
2010-12-20,27.740392684936523
2010-12-21,27.46121597290039
2010-12-22,27.64984893798828
2010-12-23,27.355579376220703
2010-12-24,26.770814895629883
2010-12-27,26.73308753967285
2010-12-28,26.231325149536133
2010-12-29,26.29168128967285
2010-12-30,25.450380325317383
2010-12-31,25.835186004638672
2011-01-03,26.680274963378906
2011-01-04,26.318099975585938
2011-01-05,26.37091064453125
2011-01-06,25.771055221557617
2011-01-07,25.937049865722656
2011-01-10,25.29193115234375
2011-01-11,24.77130126953125
2011-01-12,24.111085891723633
2011-01-13,23.41691780090332
2011-01-14,23.375417709350586
2011-01-17,23.711181640625
2011-01-18,23.69231605529785
2011-01-19,23.665916442871094
2011-01-20,23.613088607788086
2011-01-21,24.733577728271484
2011-01-24,24.888256072998047
2011-01-25,25.41265296936035
2011-01-27,24.80147933959961
2011-01-28,25.220252990722656
2011-01-31,25.42397689819336
2011-02-01,24.50721549987793
2011-02-02,24.586437225341797
2011-02-03,24.182762145996094
2011-02-04,24.0695858001709
2011-02-07,24.32613182067871
2011-02-08,24.288400650024414
2011-02-09,23.820589065551758
2011-02-10,23.50745391845703
2011-02-11,23.726274490356445
2011-02-14,24.759986877441406
2011-02-15,25.11461639404297
2011-02-16,25.016529083251953
2011-02-17,24.797710418701172
